date,ftc_IT-CNORTH,ftc_IT-SOUTH,ftc_IT-Sardinia,temperature_2m,wind_speed_10m,wind_direction_10m,cloudcover,shortwave_radiation,temperature_2m_lag1,wind_speed_10m_lag1,wind_direction_10m_lag1,cloudcover_lag1,shortwave_radiation_lag1,temperature_2m_lag24,wind_speed_10m_lag24,wind_direction_10m_lag24,cloudcover_lag24,shortwave_radiation_lag24,Natural_Gas_price_EUR,Natural_Gas_price_EUR_lag_1d,Coal_price_EUR,Coal_price_EUR_lag_1d,Oil_price_EUR,Oil_price_EUR_lag_1d,Carbon_Emission_price_EUR,Carbon_Emission_price_EUR_lag_1d
2025-01-01 00:00:00,3555.0,2735.0,720.0,4.9294996,4.231097,29.277746,59.5,0.0,5.5295,4.1539454,30.019941,55.0,0.0,5.4795,3.6985521,34.149754,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 01:00:00,3576.0,2952.0,720.0,4.5795,4.356722,27.589514,66.0,0.0,4.9294996,4.231097,29.277746,59.5,0.0,3.5545,4.492742,36.698875,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 02:00:00,3576.0,2952.0,720.0,3.7795,3.729344,19.711662,57.0,0.0,4.5795,4.356722,27.589514,66.0,0.0,2.5795,5.6169653,28.378757,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 03:00:00,3656.0,3278.0,720.0,3.2795,3.566881,190.27806,61.0,0.0,3.7795,3.729344,19.711662,57.0,0.0,2.3795,5.523943,22.63174,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 04:00:00,3656.0,3278.0,720.0,2.8295,4.2602553,15.070625,99.0,0.0,3.2795,3.566881,190.27806,61.0,0.0,3.0045,6.016174,20.55388,51.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 05:00:00,3671.0,3017.0,720.0,2.5795,5.5046744,22.091423,96.5,0.0,2.5795,5.5046744,22.091423,96.5,0.0,9.804501,4.943854,212.88614,41.5,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 06:00:00,3671.0,3017.0,720.0,2.6794999,6.1229253,24.35535,90.5,0.0,2.5795,5.5046744,22.091423,96.5,0.0,11.6295,4.0758257,51.82874,44.5,363.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 07:00:00,3653.0,3005.0,720.0,2.8544998,5.3329906,21.760918,81.0,0.0,2.6794999,6.1229253,24.35535,90.5,0.0,13.3545,2.5156512,147.41467,38.0,342.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 08:00:00,3653.0,3005.0,720.0,3.2045,4.9853253,20.342062,67.5,5.0,2.8544998,5.3329906,21.760918,81.0,0.0,12.379499,1.3634006,182.7997,38.0,131.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 09:00:00,3520.0,2978.0,720.0,5.0045004,5.0956173,23.289215,64.5,82.0,3.2045,4.9853253,20.342062,67.5,5.0,9.7045,2.0124612,225.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 10:00:00,3520.0,2978.0,720.0,6.7795,4.691207,25.189064,43.0,198.5,6.7795,4.691207,25.189064,43.0,198.5,6.4795,3.5009565,34.793396,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 11:00:00,3575.0,3050.0,720.0,8.529499,4.4478726,21.111134,47.5,310.0,8.529499,4.4478726,21.111134,47.5,310.0,5.5295,4.1539454,30.019941,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 12:00:00,3575.0,3050.0,720.0,10.1795,3.89637,6.854987,39.5,371.0,8.529499,4.4478726,21.111134,47.5,310.0,4.9294996,4.231097,29.277746,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 13:00:00,3538.0,3482.0,720.0,11.4295,2.772954,172.11635,8.0,406.0,10.1795,3.89637,6.854987,39.5,371.0,4.5795,4.356722,27.589514,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 14:00:00,3538.0,3482.0,720.0,12.0795,1.6689603,169.72194,10.5,368.5,11.4295,2.772954,172.11635,8.0,406.0,3.7795,3.729344,19.711662,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 15:00:00,3552.0,3232.0,720.0,12.254499,1.6963971,191.98125,6.0,274.5,12.0795,1.6689603,169.72194,10.5,368.5,3.2795,3.566881,190.27806,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 16:00:00,3552.0,3232.0,720.0,11.404499,1.6546298,225.00009,31.0,144.0,12.254499,1.6963971,191.98125,6.0,274.5,2.8295,4.2602553,15.070625,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 17:00:00,3552.0,3409.0,720.0,9.379499,1.6734436,239.52731,50.0,24.0,9.379499,1.6734436,239.52731,50.0,24.0,2.5795,5.5046744,22.091423,96.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 18:00:00,3552.0,3409.0,720.0,8.429501,2.2104197,52.97274,50.0,0.0,9.379499,1.6734436,239.52731,50.0,24.0,2.6794999,6.1229253,24.35535,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 19:00:00,3586.0,3167.0,720.0,7.5045,2.4723802,43.30768,48.0,0.0,8.429501,2.2104197,52.97274,50.0,0.0,2.8544998,5.3329906,21.760918,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 20:00:00,3586.0,3167.0,720.0,6.7545,2.4893577,45.474773,50.0,0.0,7.5045,2.4723802,43.30768,48.0,0.0,3.2045,4.9853253,20.342062,67.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 21:00:00,3554.0,2938.0,720.0,5.9045,2.3650937,42.179794,49.0,0.0,6.7545,2.4893577,45.474773,50.0,0.0,5.0045004,5.0956173,23.289215,64.5,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 22:00:00,3554.0,2938.0,720.0,5.0795,2.5483184,31.973232,48.0,0.0,5.0795,2.5483184,31.973232,48.0,0.0,6.7795,4.691207,25.189064,43.0,198.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 23:00:00,3777.0,3349.0,720.0,4.7545004,2.9407842,27.066391,30.0,0.0,5.0795,2.5483184,31.973232,48.0,0.0,8.529499,4.4478726,21.111134,47.5,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-02 00:00:00,3777.0,3349.0,720.0,4.3295,3.3428922,20.452719,48.5,0.0,4.7545004,2.9407842,27.066391,30.0,0.0,8.529499,4.4478726,21.111134,47.5,310.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0
